# Note: The measurements starting with 100% are likely inaccurate as the first percent lasts longer.
Vehicle,Mode,Distance_km,Up_m,Down_m,start_soc,End_soc
Sur-ron,Sport,1.99,25,-42,100,99
Sur-ron,Sport,1.53,77,-2,99,94
Sur-ron,Sport,4.41,2,-93,94,86
Sur-ron,Eco,4.71,103,-22,86,77
Sur-ron,Eco,3.53,20,-39,77,71
# --- Add new data for the Artic Leopard below ---
# Use 'Eco', 'Daily', or 'Sport' for the Mode column.
# Artic Leopard,Eco,10.0,50,-50,100,92
# Artic Leopard,Daily,7.5,50,-50,100,90
# Artic Leopard,Sport,5.0,50,-50,100,88
